时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-15 15:15:28.079563,2602,126.62292140,45.80091190,-84.248,0.000,27.565,-0.080,36.644,-1.461,0.000,0.000,0.000,0.000,0.000,0.000,1.463,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 15:15:28.198943,702,126.62291950,45.80091200,-84.071,0.745,27.576,-0.075,36.497,-1.477,0.000,0.000,0.000,0.000,0.000,0.000,1.471,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 15:15:28.309046,8532,126.62291730,45.80091220,-83.849,1.168,27.599,-0.085,36.326,-1.549,0.000,0.000,0.000,0.000,0.000,0.000,1.498,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 15:15:28.419184,6235,126.62291500,45.80091220,-83.550,2.068,27.599,-0.106,36.148,-1.593,0.000,0.000,0.000,0.000,0.000,0.000,1.542,2.667,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 15:15:28.529246,4205,126.62291300,45.80091190,-83.326,2.250,27.565,-0.055,35.993,-1.439,0.000,0.000,0.000,0.000,0.000,0.000,1.529,2.667,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 15:15:28.639359,1785,126.62291060,45.80091170,-83.101,2.261,27.543,-0.059,35.807,-1.506,0.000,0.000,0.000,0.000,0.000,0.000,1.515,2.667,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 15:15:28.759511,9642,126.62290850,45.80091140,-82.956,1.763,27.510,-0.087,35.644,-1.318,0.000,0.000,0.000,0.000,0.000,0.000,1.423,2.667,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 15:15:28.879591,6829,126.62290570,45.80091120,-82.820,1.462,27.487,-0.055,35.427,-1.173,0.000,0.000,0.000,0.000,0.000,0.000,1.334,2.667,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 15:15:28.999682,4296,126.62290320,45.80091090,-82.688,1.145,27.454,-0.060,35.233,-1.216,0.000,0.000,0.000,0.000,0.000,0.000,1.238,2.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 15:15:29.119810,1873,126.62290080,45.80091070,-82.476,1.332,27.432,-0.017,35.047,-1.171,0.000,0.000,0.000,0.000,0.000,0.000,1.188,2.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
