时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-15 15:46:55.084191,6849,126.62285550,45.80101340,-61.166,0.000,38.852,-0.046,31.535,-1.347,0.000,0.000,0.000,0.000,0.000,0.000,1.348,1.389,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 15:46:55.193629,5149,126.62285380,45.80101340,-61.153,0.060,38.852,-0.063,31.403,-1.348,0.000,0.000,0.000,0.000,0.000,0.000,1.349,1.389,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 15:46:55.303738,3139,126.62285180,45.80101330,-61.155,0.034,38.840,-0.032,31.248,-1.374,0.000,0.000,0.000,0.000,0.000,0.000,1.357,1.389,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 15:46:55.413860,1239,126.62284990,45.80101330,-61.164,0.006,38.840,-0.039,31.101,-1.428,0.000,0.000,0.000,0.000,0.000,0.000,1.384,1.389,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 15:46:55.523939,9129,126.62284780,45.80101320,-61.165,-0.038,38.829,-0.033,30.938,-1.330,0.000,0.000,0.000,0.000,0.000,0.000,1.378,1.389,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 15:46:55.634048,7119,126.62284580,45.80101310,-61.151,0.013,38.818,-0.053,30.783,-1.374,0.000,0.000,0.000,0.000,0.000,0.000,1.378,1.389,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 15:46:55.744205,4806,126.62284350,45.80101300,-61.129,0.105,38.807,-0.048,30.605,-1.180,0.000,0.000,0.000,0.000,0.000,0.000,1.295,1.389,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 15:46:55.854260,2596,126.62284130,45.80101290,-61.113,0.156,38.796,-0.056,30.434,-1.195,0.000,0.000,0.000,0.000,0.000,0.000,1.251,1.389,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 15:46:55.964360,583,126.62283930,45.80101280,-61.094,0.171,38.785,-0.069,30.279,-1.218,0.000,0.000,0.000,0.000,0.000,0.000,1.199,1.389,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 15:46:56.074468,8783,126.62283750,45.80101280,-61.025,0.314,38.785,-0.039,30.140,-1.107,0.000,0.000,0.000,0.000,0.000,0.000,1.175,1.389,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
