时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-15 16:03:00.107094,7549,126.62268580,45.80091740,-28.930,0.000,28.177,0.079,18.380,-0.332,0.000,0.000,0.000,0.000,0.000,0.000,0.341,0.000,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:03:00.221345,6859,126.62268510,45.80091750,-29.147,-0.882,28.188,0.168,18.326,-0.327,0.000,0.000,0.000,0.000,0.000,0.000,0.354,3.333,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:03:00.337935,6269,126.62268450,45.80091760,-29.247,-0.873,28.199,0.147,18.279,-0.283,0.000,0.000,0.000,0.000,0.000,0.000,0.343,3.333,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:03:00.448031,5779,126.62268400,45.80091770,-29.228,-0.813,28.210,0.052,18.241,-0.369,0.000,0.000,0.000,0.000,0.000,0.000,0.353,3.333,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:03:00.558144,5189,126.62268340,45.80091780,-29.124,0.086,28.221,0.051,18.194,-0.384,0.000,0.000,0.000,0.000,0.000,0.000,0.360,3.333,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:03:00.668237,4699,126.62268290,45.80091790,-28.997,0.757,28.232,0.060,18.155,-0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.388,1.833,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:03:00.778351,4299,126.62268250,45.80091790,-28.841,1.170,28.232,0.060,18.124,-0.355,0.000,0.000,0.000,0.000,0.000,0.000,0.384,1.833,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:03:00.888464,3799,126.62268200,45.80091790,-28.750,1.133,28.232,0.065,18.085,-0.362,0.000,0.000,0.000,0.000,0.000,0.000,0.377,1.833,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:03:00.998672,3299,126.62268150,45.80091790,-28.720,0.838,28.232,0.028,18.047,-0.317,0.000,0.000,0.000,0.000,0.000,0.000,0.349,1.833,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:03:01.118661,2899,126.62268110,45.80091790,-28.722,0.359,28.232,0.005,18.016,-0.291,0.000,0.000,0.000,0.000,0.000,0.000,0.326,1.833,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:03:01.238770,2499,126.62268070,45.80091790,-28.727,0.074,28.232,0.058,17.985,-0.365,0.000,0.000,0.000,0.000,0.000,0.000,0.326,1.833,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:03:01.358889,1999,126.62268020,45.80091790,-28.645,0.208,28.232,0.106,17.946,-0.382,0.000,0.000,0.000,0.000,0.000,0.000,0.352,1.833,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:03:01.479046,1599,126.62267980,45.80091790,-28.477,0.681,28.232,0.127,17.915,-0.398,0.000,0.000,0.000,0.000,0.000,0.000,0.395,1.833,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:03:01.599117,1102,126.62267930,45.80091790,-28.328,1.103,28.232,0.150,17.876,-0.422,0.000,0.000,0.000,0.000,0.000,0.000,0.421,1.833,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:03:01.719223,512,126.62267870,45.80091800,-28.309,0.932,28.244,0.037,17.830,-0.391,0.000,0.000,0.000,0.000,0.000,0.000,0.419,1.833,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:03:01.839329,9912,126.62267810,45.80091810,-28.424,0.146,28.255,0.064,17.783,-0.363,0.000,0.000,0.000,0.000,0.000,0.000,0.403,1.833,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:03:01.959451,9309,126.62267750,45.80091810,-28.496,-0.465,28.255,0.061,17.737,-0.310,0.000,0.000,0.000,0.000,0.000,0.000,0.359,1.833,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:03:02.079619,8809,126.62267700,45.80091810,-28.418,-0.303,28.255,0.045,17.698,-0.273,0.000,0.000,0.000,0.000,0.000,0.000,0.320,1.833,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:03:02.200032,8309,126.62267650,45.80091810,-28.239,0.513,28.255,0.012,17.659,-0.348,0.000,0.000,0.000,0.000,0.000,0.000,0.314,1.833,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:03:02.319816,7809,126.62267600,45.80091810,-28.089,1.130,28.255,0.020,17.620,-0.387,0.000,0.000,0.000,0.000,0.000,0.000,0.337,1.833,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:03:02.439913,7229,126.62267540,45.80091820,-28.120,0.826,28.266,0.064,17.574,-0.360,0.000,0.000,0.000,0.000,0.000,0.000,0.367,1.833,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:03:02.560026,6629,126.62267480,45.80091820,-28.304,-0.181,28.266,0.077,17.527,-0.362,0.000,0.000,0.000,0.000,0.000,0.000,0.374,1.833,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:03:02.680178,6129,126.62267430,45.80091820,-28.086,0.003,28.266,0.095,17.489,-0.309,0.000,0.000,0.000,0.000,0.000,0.000,0.353,1.833,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:03:02.800249,5649,126.62267380,45.80091840,-28.205,-0.240,28.288,0.085,17.450,-0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.346,1.833,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:03:02.910361,5259,126.62267340,45.80091850,-28.149,0.439,28.299,0.059,17.419,-0.315,0.000,0.000,0.000,0.000,0.000,0.000,0.329,1.833,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:03:03.020457,4869,126.62267300,45.80091860,-28.047,0.149,28.310,0.024,17.388,-0.349,0.000,0.000,0.000,0.000,0.000,0.000,0.338,1.833,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:03:03.130571,4469,126.62267260,45.80091870,-28.005,0.607,28.321,0.025,17.357,-0.370,0.000,0.000,0.000,0.000,0.000,0.000,0.347,1.833,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:03:03.240670,3989,126.62267210,45.80091880,-28.062,0.265,28.332,0.045,17.318,-0.353,0.000,0.000,0.000,0.000,0.000,0.000,0.359,1.833,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:03:03.350778,3499,126.62267160,45.80091890,-28.203,-0.473,28.344,0.112,17.279,-0.344,0.000,0.000,0.000,0.000,0.000,0.000,0.363,1.833,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:03:03.460863,3109,126.62267120,45.80091900,-28.365,-1.092,28.355,0.122,17.248,-0.347,0.000,0.000,0.000,0.000,0.000,0.000,0.362,1.833,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
