时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-15 16:14:23.073595,5707,126.62265340,45.80092280,41.166,0.000,28.777,0.467,15.868,0.787,0.000,0.000,0.000,0.000,0.000,0.000,0.915,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:14:23.182923,6747,126.62265440,45.80092320,40.801,-1.673,28.822,0.459,15.946,0.786,0.000,0.000,0.000,0.000,0.000,0.000,0.913,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:14:23.293011,7887,126.62265550,45.80092360,40.459,-2.153,28.866,0.451,16.031,0.770,0.000,0.000,0.000,0.000,0.000,0.000,0.906,-4.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:14:23.403104,9134,126.62265670,45.80092410,40.101,-3.227,28.922,0.438,16.124,0.735,0.000,0.000,0.000,0.000,0.000,0.000,0.886,-4.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:14:23.513227,274,126.62265780,45.80092450,39.874,-2.799,28.966,0.429,16.209,0.727,0.000,0.000,0.000,0.000,0.000,0.000,0.864,-4.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:14:23.623341,1614,126.62265910,45.80092490,39.632,-2.495,29.011,0.456,16.310,0.791,0.000,0.000,0.000,0.000,0.000,0.000,0.871,-4.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:14:23.733436,2854,126.62266030,45.80092540,39.292,-2.452,29.066,0.479,16.403,0.811,0.000,0.000,0.000,0.000,0.000,0.000,0.900,-4.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:14:23.843572,4107,126.62266150,45.80092580,38.854,-3.091,29.111,0.526,16.496,0.717,0.000,0.000,0.000,0.000,0.000,0.000,0.915,-4.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:14:23.953653,5364,126.62266270,45.80092640,38.335,-3.928,29.178,0.506,16.589,0.694,0.000,0.000,0.000,0.000,0.000,0.000,0.897,-4.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:14:24.063754,6404,126.62266370,45.80092680,38.059,-3.735,29.222,0.450,16.667,0.738,0.000,0.000,0.000,0.000,0.000,0.000,0.871,-4.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:14:24.173858,7734,126.62266500,45.80092720,37.840,-3.074,29.267,0.440,16.768,0.751,0.000,0.000,0.000,0.000,0.000,0.000,0.865,-4.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:14:24.283951,8784,126.62266600,45.80092760,37.780,-1.684,29.311,0.471,16.845,0.765,0.000,0.000,0.000,0.000,0.000,0.000,0.878,-4.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:14:24.394064,9844,126.62266700,45.80092820,37.258,-2.427,29.378,0.526,16.923,0.730,0.000,0.000,0.000,0.000,0.000,0.000,0.890,-4.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:14:24.504160,594,126.62266770,45.80092870,36.795,-3.154,29.433,0.505,16.977,0.713,0.000,0.000,0.000,0.000,0.000,0.000,0.891,-4.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:14:24.614274,1554,126.62266860,45.80092930,36.415,-4.124,29.500,0.524,17.047,0.753,0.000,0.000,0.000,0.000,0.000,0.000,0.897,-4.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:14:24.724453,2304,126.62266930,45.80092980,36.190,-3.224,29.556,0.504,17.101,0.755,0.000,0.000,0.000,0.000,0.000,0.000,0.900,-4.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:14:24.834466,3267,126.62267020,45.80093040,35.890,-2.741,29.622,0.567,17.171,0.690,0.000,0.000,0.000,0.000,0.000,0.000,0.906,-4.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:14:24.944587,4114,126.62267100,45.80093090,35.575,-2.545,29.678,0.570,17.233,0.676,0.000,0.000,0.000,0.000,0.000,0.000,0.895,-4.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
