时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-15 16:30:30.071191,4676,126.62268970,45.80134980,0.321,0.000,76.257,-0.000,18.682,-0.280,0.000,0.000,0.000,0.000,0.000,0.000,0.280,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:30:30.180926,4276,126.62268930,45.80134980,0.640,1.450,76.257,-0.025,18.651,-0.241,0.000,0.000,0.000,0.000,0.000,0.000,0.261,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:30:30.290925,3876,126.62268890,45.80134980,0.849,1.600,76.257,0.005,18.620,-0.224,0.000,0.000,0.000,0.000,0.000,0.000,0.249,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:30:30.401053,3576,126.62268860,45.80134980,0.848,1.597,76.257,-0.005,18.597,-0.222,0.000,0.000,0.000,0.000,0.000,0.000,0.229,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:30:30.511141,3176,126.62268820,45.80134980,0.702,0.192,76.257,-0.017,18.566,-0.218,0.000,0.000,0.000,0.000,0.000,0.000,0.222,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:30:30.621264,2876,126.62268790,45.80134980,0.577,-0.820,76.257,-0.041,18.543,-0.222,0.000,0.000,0.000,0.000,0.000,0.000,0.222,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:30:30.731393,2476,126.62268750,45.80134980,0.517,-0.999,76.257,0.043,18.512,-0.285,0.000,0.000,0.000,0.000,0.000,0.000,0.244,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:30:30.841458,2196,126.62268720,45.80134990,0.524,-0.539,76.269,0.005,18.489,-0.285,0.000,0.000,0.000,0.000,0.000,0.000,0.266,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:30:30.951553,1696,126.62268670,45.80134990,0.629,0.158,76.269,-0.003,18.450,-0.307,0.000,0.000,0.000,0.000,0.000,0.000,0.293,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 16:30:31.061733,1306,126.62268630,45.80135000,0.771,0.770,76.280,-0.016,18.419,-0.253,0.000,0.000,0.000,0.000,0.000,0.000,0.282,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
