时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-22 13:39:00.089719,438,126.62302350,45.80096920,142.401,0.000,33.937,-0.664,44.559,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.664,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 13:39:00.209188,578,126.62302370,45.80096860,142.365,-0.150,33.870,-0.634,44.574,-0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.650,1.719,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 13:39:00.319268,618,126.62302380,45.80096800,142.426,0.084,33.803,-0.641,44.582,-0.087,0.000,0.000,0.000,0.000,0.000,0.000,0.649,1.719,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 13:39:00.439354,568,126.62302380,45.80096750,142.607,0.589,33.748,-0.634,44.582,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.639,1.719,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 13:39:00.559582,498,126.62302380,45.80096680,142.972,1.702,33.670,-0.531,44.582,0.101,0.000,0.000,0.000,0.000,0.000,0.000,0.607,1.719,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 13:39:00.679576,415,126.62302380,45.80096610,143.304,2.440,33.592,-0.562,44.582,0.135,0.000,0.000,0.000,0.000,0.000,0.000,0.584,1.719,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 13:39:00.799696,455,126.62302390,45.80096540,143.519,2.533,33.514,-0.602,44.590,0.172,0.000,0.000,0.000,0.000,0.000,0.000,0.582,1.719,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 13:39:00.919812,595,126.62302410,45.80096480,143.591,1.720,33.447,-0.575,44.605,0.068,0.000,0.000,0.000,0.000,0.000,0.000,0.594,1.719,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 13:39:01.039933,735,126.62302430,45.80096430,143.555,0.698,33.392,-0.559,44.621,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.588,1.719,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 13:39:01.160051,795,126.62302440,45.80096380,143.506,-0.038,33.336,-0.537,44.628,-0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.558,1.719,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 13:39:01.280149,745,126.62302440,45.80096330,143.598,0.018,33.281,-0.530,44.628,-0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.543,1.719,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 13:39:01.400265,705,126.62302440,45.80096290,143.861,0.847,33.236,-0.493,44.628,0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.526,1.719,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 13:39:01.510380,655,126.62302440,45.80096240,-143.737,1.713,33.181,-0.496,44.628,0.138,0.000,0.000,0.000,0.000,0.000,0.000,0.519,1.719,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 13:39:01.620479,705,126.62302450,45.80096190,-143.329,2.694,33.125,-0.466,44.636,0.112,0.000,0.000,0.000,0.000,0.000,0.000,0.501,1.719,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 13:39:01.730598,755,126.62302460,45.80096140,-143.102,2.651,33.069,-0.504,44.644,0.140,0.000,0.000,0.000,0.000,0.000,0.000,0.506,1.719,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 13:39:01.840697,905,126.62302480,45.80096090,-142.967,2.332,33.014,-0.536,44.659,0.155,0.000,0.000,0.000,0.000,0.000,0.000,0.520,1.719,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 13:39:01.950801,965,126.62302490,45.80096050,-142.998,1.004,32.969,-0.501,44.667,0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.528,1.719,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 13:39:02.060908,1025,126.62302500,45.80096010,-143.061,0.126,32.925,-0.468,44.675,-0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.513,1.719,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 13:39:02.171014,1092,126.62302510,45.80095980,-143.034,-0.204,32.891,-0.469,44.683,-0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.484,1.719,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 13:39:02.281203,1162,126.62302520,45.80095950,-142.863,0.403,32.858,-0.457,44.690,-0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.468,1.719,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 13:39:02.391234,1132,126.62302520,45.80095920,-142.618,1.336,32.825,-0.380,44.690,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.436,1.719,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 13:39:02.501330,1082,126.62302520,45.80095880,-142.316,2.172,32.780,-0.408,44.690,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.416,1.719,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 13:39:02.611443,1149,126.62302530,45.80095840,-142.058,2.439,32.736,-0.401,44.698,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.398,1.719,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 13:39:02.721530,1112,126.62302530,45.80095800,-141.902,2.172,32.691,-0.421,44.698,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.411,1.719,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 13:39:02.831644,1162,126.62302540,45.80095760,-141.805,1.549,32.647,-0.431,44.706,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.418,1.719,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 13:39:02.941750,1242,126.62302550,45.80095730,-141.755,0.919,32.613,-0.379,44.714,0.057,0.000,0.000,0.000,0.000,0.000,0.000,0.412,1.719,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 13:39:03.051852,1302,126.62302560,45.80095700,-141.687,0.650,32.580,-0.410,44.721,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.408,1.719,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 13:39:03.162329,1289,126.62302560,45.80095680,-141.572,0.702,32.558,-0.353,44.721,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.382,1.719,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 13:39:03.272435,1359,126.62302570,45.80095650,-141.386,1.114,32.525,-0.369,44.729,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.378,1.935,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 13:39:03.382640,1329,126.62302570,45.80095620,-141.200,1.473,32.491,-0.297,44.729,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.343,1.935,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
