时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-22 14:05:13.075301,171,126.62307710,45.80093050,-73.750,0.000,29.633,0.028,48.714,-0.715,0.000,0.000,0.000,0.000,0.000,0.000,0.716,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:05:13.184806,9171,126.62307610,45.80093050,-74.063,-1.425,29.633,0.061,48.636,-0.717,0.000,0.000,0.000,0.000,0.000,0.000,0.718,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:05:13.294871,8081,126.62307500,45.80093060,-74.286,-1.624,29.645,0.072,48.551,-0.688,0.000,0.000,0.000,0.000,0.000,0.000,0.709,-2.984,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:05:13.405003,7181,126.62307410,45.80093060,-74.366,-1.869,29.645,0.084,48.481,-0.691,0.000,0.000,0.000,0.000,0.000,0.000,0.702,-2.984,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:05:13.515312,6091,126.62307300,45.80093070,-74.474,-1.243,29.656,0.057,48.396,-0.726,0.000,0.000,0.000,0.000,0.000,0.000,0.705,-2.984,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:05:13.625184,5088,126.62307200,45.80093070,-74.568,-0.853,29.656,0.025,48.318,-0.637,0.000,0.000,0.000,0.000,0.000,0.000,0.687,-2.984,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:05:13.735264,4098,126.62307100,45.80093080,-74.692,-0.984,29.667,0.020,48.241,-0.652,0.000,0.000,0.000,0.000,0.000,0.000,0.673,-0.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:05:13.845386,2998,126.62306990,45.80093080,-74.858,-1.164,29.667,0.022,48.156,-0.614,0.000,0.000,0.000,0.000,0.000,0.000,0.635,-0.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:05:13.955490,2098,126.62306900,45.80093080,-75.020,-1.370,29.667,0.069,48.086,-0.619,0.000,0.000,0.000,0.000,0.000,0.000,0.630,-0.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:05:14.065603,1008,126.62306790,45.80093090,-75.218,-1.593,29.678,0.069,48.001,-0.622,0.000,0.000,0.000,0.000,0.000,0.000,0.621,-0.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:05:14.175698,108,126.62306700,45.80093090,-75.362,-1.527,29.678,0.065,47.931,-0.565,0.000,0.000,0.000,0.000,0.000,0.000,0.606,-0.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:05:14.285797,9105,126.62306600,45.80093090,-75.478,-1.389,29.678,0.057,47.853,-0.564,0.000,0.000,0.000,0.000,0.000,0.000,0.587,-0.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:05:14.395918,8215,126.62306510,45.80093100,-75.547,-0.999,29.689,0.059,47.784,-0.576,0.000,0.000,0.000,0.000,0.000,0.000,0.572,-0.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:05:14.506064,7315,126.62306420,45.80093100,-75.618,-0.776,29.689,-0.035,47.714,-0.591,0.000,0.000,0.000,0.000,0.000,0.000,0.579,-0.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:05:14.616130,6705,126.62306360,45.80093090,-75.690,-0.638,29.678,0.020,47.667,-0.502,0.000,0.000,0.000,0.000,0.000,0.000,0.558,-0.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:05:14.726208,6005,126.62306290,45.80093090,-75.800,-0.764,29.678,0.011,47.613,-0.514,0.000,0.000,0.000,0.000,0.000,0.000,0.536,-0.335,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:05:14.836371,5392,126.62306230,45.80093080,-75.924,-0.924,29.667,-0.060,47.566,-0.474,0.000,0.000,0.000,0.000,0.000,0.000,0.498,-0.335,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:05:14.946451,4682,126.62306160,45.80093070,-76.089,-1.210,29.656,-0.019,47.512,-0.475,0.000,0.000,0.000,0.000,0.000,0.000,0.489,-0.335,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:05:15.056548,4082,126.62306100,45.80093070,-76.242,-1.338,29.656,-0.012,47.466,-0.475,-90.000,0.700,0.000,0.000,0.000,0.000,0.476,-0.335,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:05:15.166653,3382,126.62306030,45.80093070,-95.491,-1.425,29.656,0.012,47.411,-0.432,-90.000,0.700,0.000,-5.733,0.038,-0.000,0.461,-0.335,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:05:15.276748,2672,126.62305960,45.80093060,-94.502,2.070,29.645,0.003,47.357,-0.425,-90.000,0.700,0.000,1.540,0.079,0.000,0.444,-0.335,0.000,0.000,1.583,0.000,0.000,1.000,0.000,0.000,1.000,0.000
