时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-22 14:21:58.080228,5028,126.62295470,45.80100310,-2.898,0.000,37.706,0.622,39.225,0.139,0.000,0.000,0.000,0.000,0.000,0.000,0.637,0.000,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:21:58.199596,5188,126.62295480,45.80100380,-3.792,-3.727,37.784,0.631,39.233,0.153,0.000,0.000,0.000,0.000,0.000,0.000,0.643,0.000,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:21:58.319679,5468,126.62295500,45.80100450,-4.597,-4.720,37.862,0.651,39.249,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.647,0.000,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:21:58.439856,5638,126.62295510,45.80100520,-5.146,-6.247,37.940,0.610,39.256,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.640,1.719,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:21:58.559899,5818,126.62295520,45.80100600,-5.470,-4.662,38.029,0.596,39.264,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.622,1.719,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:21:58.680017,5975,126.62295530,45.80100660,-5.787,-3.307,38.095,0.584,39.272,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.599,1.719,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:21:58.800210,6035,126.62295530,45.80100720,-6.190,-2.889,38.162,0.510,39.272,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.564,1.719,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:21:58.920328,6095,126.62295530,45.80100780,-6.642,-3.244,38.229,0.541,39.272,0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.548,2.854,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:21:59.030354,6055,126.62295520,45.80100840,-6.929,-3.234,38.296,0.514,39.264,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.524,2.854,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:21:59.140460,6105,126.62295520,45.80100890,-6.976,-2.269,38.351,0.507,39.264,-0.022,0.000,0.000,0.000,0.000,0.000,0.000,0.523,2.854,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
