时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-22 14:50:12.075961,7003,126.62254500,45.80082000,-58.055,0.000,17.346,0.033,7.465,-0.178,0.000,0.000,0.000,0.000,0.000,0.000,0.181,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:50:12.185370,6803,126.62254480,45.80082000,-58.028,0.124,17.346,0.031,7.450,-0.170,0.000,0.000,0.000,0.000,0.000,0.000,0.177,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:50:12.295454,6603,126.62254460,45.80082000,-58.014,0.126,17.346,0.022,7.434,-0.171,0.000,0.000,0.000,0.000,0.000,0.000,0.175,-0.119,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:50:12.405553,6313,126.62254430,45.80082010,-58.033,0.068,17.358,0.029,7.411,-0.165,0.000,0.000,0.000,0.000,0.000,0.000,0.171,-0.119,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:50:12.515678,6113,126.62254410,45.80082010,-58.079,-0.155,17.358,0.013,7.395,-0.184,0.000,0.000,0.000,0.000,0.000,0.000,0.175,-0.119,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:50:12.625772,5813,126.62254380,45.80082010,-58.124,-0.335,17.358,0.071,7.372,-0.184,0.000,0.000,0.000,0.000,0.000,0.000,0.183,-0.119,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:50:12.735919,5513,126.62254350,45.80082020,-58.184,-0.458,17.369,0.083,7.349,-0.183,0.000,0.000,0.000,0.000,0.000,0.000,0.194,-0.119,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:50:12.845968,5316,126.62254330,45.80082020,-58.241,-0.490,17.369,0.066,7.333,-0.193,0.000,0.000,0.000,0.000,0.000,0.000,0.201,-0.065,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:50:12.956097,5036,126.62254300,45.80082030,-58.295,-0.517,17.380,0.063,7.310,-0.188,0.000,0.000,0.000,0.000,0.000,0.000,0.201,-0.065,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:50:13.066193,4833,126.62254280,45.80082030,-58.322,-0.415,17.380,0.027,7.295,-0.175,0.000,0.000,0.000,0.000,0.000,0.000,0.193,-0.065,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:50:13.176301,4643,126.62254260,45.80082040,-58.326,-0.258,17.391,0.020,7.279,-0.165,0.000,0.000,0.000,0.000,0.000,0.000,0.181,-0.065,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:50:13.286388,4443,126.62254240,45.80082040,-58.323,-0.085,17.391,0.020,7.264,-0.155,0.000,0.000,0.000,0.000,0.000,0.000,0.167,-0.065,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:50:13.396605,4153,126.62254210,45.80082050,-58.220,0.308,17.402,0.030,7.240,-0.177,0.000,0.000,0.000,0.000,0.000,0.000,0.167,-0.065,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:50:13.506626,3853,126.62254180,45.80082050,-58.316,0.032,17.402,0.035,7.217,-0.199,0.000,0.000,0.000,0.000,0.000,0.000,0.179,-0.065,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:50:13.616724,3563,126.62254150,45.80082060,-58.426,-0.310,17.413,0.065,7.194,-0.205,0.000,0.000,0.000,0.000,0.000,0.000,0.199,-0.065,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:50:13.726847,3266,126.62254120,45.80082060,-58.538,-0.962,17.413,0.066,7.171,-0.205,0.000,0.000,0.000,0.000,0.000,0.000,0.211,-0.065,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:50:13.836914,2972,126.62254090,45.80082060,-58.600,-0.861,17.413,0.081,7.147,-0.191,21.660,1.200,0.000,0.000,0.000,0.000,0.213,-0.065,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:50:13.947131,2684,126.62254060,45.80082070,-73.291,-0.718,17.424,0.087,7.124,-0.168,21.850,1.200,0.000,30.000,0.169,0.000,0.204,-0.065,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:50:14.057137,2473,126.62254040,45.80082070,-73.319,-0.462,17.424,0.018,7.109,-0.174,22.040,1.200,0.000,30.000,0.340,0.000,0.191,-0.065,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-22 14:50:14.167248,2175,126.62254010,45.80082080,-73.373,-0.437,17.435,0.011,7.085,-0.176,22.200,1.200,0.000,30.000,0.513,0.000,0.180,-0.065,0.000,0.000,0.526,-0.474,0.000,1.000,0.000,0.000,0.999,-0.000
2025-07-22 14:50:14.277346,1976,126.62253990,45.80082080,-73.424,-0.402,17.435,0.004,7.070,-0.178,22.380,1.200,0.000,30.000,0.688,0.000,0.176,28.097,0.000,0.000,0.501,-0.499,0.000,1.000,0.000,0.000,0.999,-0.001
2025-07-22 14:50:14.387465,1698,126.62253960,45.80082090,-73.529,-0.636,17.446,0.019,7.047,-0.190,22.540,1.200,0.000,30.000,0.863,0.000,0.182,28.097,0.000,0.000,0.499,-0.501,0.000,1.000,0.000,0.000,0.999,-0.001
2025-07-22 14:50:14.497574,1400,126.62253930,45.80082090,-73.643,-0.818,17.446,0.052,7.023,-0.176,22.710,1.200,0.000,30.000,1.038,0.000,0.184,28.097,0.000,0.000,0.498,-0.502,0.000,1.000,0.000,0.000,0.998,-0.001
2025-07-22 14:50:14.607672,1101,126.62253900,45.80082090,-73.742,-0.964,17.446,0.054,7.000,-0.161,22.880,1.200,0.000,30.000,1.212,0.000,0.181,28.097,0.000,0.000,0.498,-0.502,0.000,1.000,0.000,0.000,0.998,-0.002
2025-07-22 14:50:14.717788,904,126.62253880,45.80082100,-73.794,-0.803,17.458,0.072,6.985,-0.172,23.170,1.200,0.000,30.000,1.386,0.000,0.180,28.097,0.000,0.000,0.498,-0.502,0.000,1.000,0.000,0.000,0.998,-0.002
2025-07-22 14:50:14.827878,606,126.62253850,45.80082100,-73.854,-0.639,17.458,0.005,6.961,-0.188,23.320,1.200,0.000,30.000,1.561,0.000,0.181,29.773,0.000,0.000,0.499,-0.501,0.000,1.000,0.000,0.000,0.998,-0.002
2025-07-22 14:50:14.937990,417,126.62253830,45.80082110,-73.941,-0.603,17.469,0.003,6.946,-0.184,23.480,1.200,0.000,30.000,1.736,0.000,0.186,29.773,0.000,0.000,0.499,-0.501,0.000,1.000,0.000,0.000,0.997,-0.002
2025-07-22 14:50:15.048092,119,126.62253800,45.80082110,-74.056,-0.791,17.469,0.035,6.923,-0.178,23.630,1.200,0.000,30.000,1.909,0.000,0.184,29.773,0.000,0.000,0.499,-0.501,0.000,1.000,0.000,0.000,0.997,-0.003
