时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-07 13:47:58.092784,4309,126.62252540,45.80088900,8.267,0.000,25.019,0.274,5.946,-0.209,0.000,0.000,0.000,0.000,0.000,0.000,0.345,-2.611,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 13:47:58.202407,4039,126.62252510,45.80088930,8.626,3.264,25.052,0.304,5.923,-0.204,0.000,0.000,0.000,0.000,0.000,0.000,0.366,-2.611,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 13:47:58.312401,3849,126.62252490,45.80088950,8.582,-0.400,25.074,0.306,5.907,-0.163,0.000,0.000,0.000,0.000,0.000,0.000,0.347,-2.611,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 13:47:58.422529,3579,126.62252460,45.80088970,8.509,-0.664,25.097,0.302,5.884,-0.181,0.000,0.000,0.000,0.000,0.000,0.000,0.352,-2.611,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 13:47:58.532623,3399,126.62252440,45.80088990,8.495,-0.127,25.119,0.252,5.868,-0.169,0.000,0.000,0.000,0.000,0.000,0.000,0.303,-2.611,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 13:47:58.642722,3106,126.62252410,45.80089010,8.536,0.373,25.141,0.241,5.845,-0.158,0.000,0.000,0.000,0.000,0.000,0.000,0.288,-2.389,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 13:47:58.752836,2936,126.62252390,45.80089030,8.599,0.573,25.163,0.233,5.830,-0.163,0.000,0.000,0.000,0.000,0.000,0.000,0.284,-2.389,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 13:47:58.862958,2756,126.62252370,45.80089050,8.677,0.709,25.186,0.251,5.814,-0.150,0.000,0.000,0.000,0.000,0.000,0.000,0.292,-2.389,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 13:47:58.973472,2566,126.62252350,45.80089070,8.708,0.279,25.208,0.226,5.799,-0.158,0.000,0.000,0.000,0.000,0.000,0.000,0.276,-2.389,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 13:47:59.083518,2406,126.62252330,45.80089100,8.673,-0.318,25.241,0.235,5.783,-0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.294,-2.389,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 13:47:59.193609,2126,126.62252300,45.80089120,8.616,-0.518,25.263,0.228,5.760,-0.194,0.000,0.000,0.000,0.000,0.000,0.000,0.299,-2.389,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 13:47:59.303720,1946,126.62252280,45.80089140,8.600,-0.145,25.286,0.195,5.744,-0.165,0.000,0.000,0.000,0.000,0.000,0.000,0.255,-2.389,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 13:47:59.413844,1656,126.62252250,45.80089150,8.682,0.745,25.297,0.173,5.721,-0.161,0.000,0.000,0.000,0.000,0.000,0.000,0.236,-2.389,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 13:47:59.523937,1476,126.62252230,45.80089170,8.829,1.336,25.319,0.215,5.705,-0.161,0.000,0.000,0.000,0.000,0.000,0.000,0.269,-2.389,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 13:47:59.634039,1286,126.62252210,45.80089180,8.871,0.382,25.330,0.243,5.690,-0.137,0.000,0.000,0.000,0.000,0.000,0.000,0.279,-2.556,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 13:47:59.744261,1109,126.62252190,45.80089200,8.764,-0.964,25.352,0.222,5.674,-0.202,0.000,0.000,0.000,0.000,0.000,0.000,0.300,-2.556,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 13:47:59.854344,929,126.62252170,45.80089220,8.572,-1.745,25.375,0.220,5.659,-0.223,0.000,0.000,0.000,0.000,0.000,0.000,0.313,-2.556,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 13:47:59.964330,749,126.62252150,45.80089240,8.441,-1.191,25.397,0.225,5.643,-0.208,0.000,0.000,0.000,0.000,0.000,0.000,0.306,-2.556,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 13:48:00.074462,469,126.62252120,45.80089260,8.372,-0.627,25.419,0.214,5.620,-0.221,0.000,0.000,0.000,0.000,0.000,0.000,0.308,-2.556,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 13:48:00.184562,186,126.62252090,45.80089280,7.975,-3.609,25.441,0.216,5.597,-0.201,0.000,0.000,0.000,0.000,0.000,0.000,0.295,-2.556,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 13:48:00.294673,16,126.62252070,45.80089310,8.003,0.255,25.475,0.172,5.581,-0.134,0.000,0.000,0.000,0.000,0.000,0.000,0.218,-2.556,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
