时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-14 14:13:51.011699,4493,126.62232200,45.80082490,-44.227,-0.381,17.891,-0.035,-9.822,-0.161,0.000,0.000,0.000,0.000,0.000,0.000,0.171,2.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:13:51.127484,4193,126.62232170,45.80082490,-44.331,-0.422,17.891,-0.019,-9.845,-0.155,0.000,0.000,0.000,0.000,0.000,0.000,0.164,2.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:13:51.237562,3993,126.62232150,45.80082490,-44.372,-0.419,17.891,-0.084,-9.861,-0.177,0.000,0.000,0.000,0.000,0.000,0.000,0.172,2.813,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:13:51.347725,3793,126.62232130,45.80082490,-44.374,-0.366,17.891,-0.111,-9.876,-0.198,0.000,0.000,0.000,0.000,0.000,0.000,0.193,2.813,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:13:51.457776,3486,126.62232100,45.80082480,-44.425,-0.327,17.880,-0.133,-9.899,-0.210,0.000,0.000,0.000,0.000,0.000,0.000,0.224,2.813,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:13:51.567876,3176,126.62232070,45.80082470,-44.546,-0.375,17.869,-0.147,-9.923,-0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.241,2.813,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:13:51.677975,2966,126.62232050,45.80082460,-44.675,-0.473,17.858,-0.061,-9.938,-0.144,0.000,0.000,0.000,0.000,0.000,0.000,0.218,2.813,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:13:51.788081,2763,126.62232030,45.80082460,-44.694,-0.385,17.858,-0.015,-9.954,-0.164,0.000,0.000,0.000,0.000,0.000,0.000,0.190,2.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:13:51.898177,2463,126.62232000,45.80082460,-44.614,-0.308,17.858,-0.009,-9.977,-0.162,0.000,0.000,0.000,0.000,0.000,0.000,0.161,2.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:13:52.008295,2263,126.62231980,45.80082460,-44.546,-0.189,17.858,-0.090,-9.992,-0.178,0.000,0.000,0.000,0.000,0.000,0.000,0.175,2.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:13:52.118482,1953,126.62231950,45.80082450,-44.612,-0.343,17.847,-0.092,-10.016,-0.209,0.000,0.000,0.000,0.000,0.000,0.000,0.197,2.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:13:52.228488,1653,126.62231920,45.80082450,-44.814,-0.440,17.847,-0.079,-10.039,-0.135,0.000,0.000,0.000,0.000,0.000,0.000,0.195,2.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:13:52.338618,1443,126.62231900,45.80082440,-44.959,-0.535,17.836,-0.036,-10.054,-0.189,0.000,0.000,0.000,0.000,0.000,0.000,0.192,2.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
